Premise,Hypothesis,Label
a low loan amount compared to the bank's average,the customer is Bad credit,contradiction
a shorter loan duration than the average,the customer is Bad credit,contradiction
a lower loan amount than the average,the customer is Bad credit,contradiction
a lower-than-average loan amount,the customer is Bad credit,contradiction
and a low installment rate,the customer is Bad credit,contradiction
a low installment rate compared to the average,the customer is Bad credit,contradiction
"Property is Real Estate, While this is not inherently bad,  it can be a sign of a larger debt burden",the customer is Bad credit,contradiction
a loan amount below the average,the customer is Bad credit,contradiction
a shorter loan duration than the average,the customer is Bad credit,contradiction
a shorter loan duration than the average,the customer is Bad credit,contradiction
a short loan duration,the customer is Bad credit,contradiction
a low loan amount,the customer is Bad credit,contradiction
"Additionally, their loan duration is shorter than 50% of all cases in the bank, and their installment rate in percentage of disposable income is lower than 50% of all cases in the bank",the customer is Bad credit,contradiction
a short loan duration,the customer is Bad credit,contradiction
a low loan amount,the customer is Bad credit,contradiction
a low installment rate as a percentage of disposable income,the customer is Bad credit,contradiction
a short loan duration,the customer is Bad credit,contradiction
"Additionally, the customer's age and job status do not align with the majority of the bank's customers, indicating potential financial instability",the customer is Bad credit,contradiction
a lower loan amount,the customer is Bad credit,contradiction
a short loan duration,the customer is Bad credit,contradiction
a low loan amount,the customer is Bad credit,contradiction
a low installment rate,the customer is Bad credit,contradiction
and a high age,the customer is Bad credit,contradiction
"The customer also has a high number of people being liable to provide maintenance for, which could indicate financial strain",the customer is Bad credit,contradiction
"Additionally, the customer's installment rate is lower than 50% of all cases in the bank, and they have a foreign worker status, which may indicate financial instability",the customer is Bad credit,contradiction
and other debtors' status being none,the customer is Bad credit,contradiction
and a low installment rate as a percentage of disposable income,the customer is Bad credit,contradiction
a low installment rate as a percentage of disposable income,the customer is Bad credit,contradiction
and a high number of people being liable for maintenance,the customer is Bad credit,contradiction
"Additionally, the loan duration is longer than 50% of all cases in the bank, and the loan amount is lower than 50% of all cases, suggesting that the customer may be taking on too much debt",the customer is Bad credit,contradiction
a short loan duration,the customer is Bad credit,contradiction
a low loan amount,the customer is Bad credit,contradiction
"The customer's age is also older than 50% of all cases in the bank, which could be a concern for long-term financial stability",the customer is Bad credit,contradiction
"and a long-term employment history, which may indicate financial instability",the customer is Bad credit,contradiction
"Additionally, the customer's installment rate is lower than 50% of all cases in the bank, and they have other installment plans with the bank, which could suggest a history of financial difficulties",the customer is Bad credit,contradiction
"The customer's age, job status, and housing situation also raise concerns about their financial stability",the customer is Bad credit,contradiction
a short loan duration,the customer is Bad credit,contradiction
and a lack of other debtors,the customer is Bad credit,contradiction
short loan duration,the customer is  bad credit,contradiction
low installment rate,the customer is  bad credit,contradiction
a loan duration shorter than half of all cases may imply a higher risk of default,the customer is  bad credit,contradiction
a loan duration shorter than half of all cases may imply a higher risk of default,the customer is  bad credit,contradiction
a low loan amount could indicate limited borrowing capacity,the customer is  bad credit,contradiction
"Additionally, the absence of other debtors, a non-owned housing status, and a non-registered telephone further diminish the customer's creditworthiness",the customer is  bad credit,contradiction
"Additionally, the loan duration is unusually long, and the loan amount is significantly lower than the average, which could indicate financial strain or a higher risk of default",the customer is  bad credit,contradiction
a loan duration and amount that are below average,the customer is  bad credit,contradiction
a low installment rate relative to disposable income,the customer is  bad credit,contradiction
and an older age demographic,the customer is  bad credit,contradiction
"The customer's negative checking account balance, high loan amount relative to bank averages, low savings account, short employment duration, below-average installment rate, young age, lack of other installment plans, and unregistered telephone suggest financial instability and a higher risk of default, despite owning a home and having a skilled job",the customer is  bad credit,contradiction
below-average installment rate,the customer is  bad credit,contradiction
a lower installment rate,the customer is  bad credit,contradiction
"Additionally, the long loan duration and lower loan amount compared to the bank's average may indicate difficulty in repaying debts",the customer is  bad credit,contradiction
and a status that is older than the majority of the bank's cases,the customer is  bad credit,contradiction
The low installment rate suggests limited financial flexibility,the customer is  bad credit,contradiction
"Lack of registered phone, This could indicate a lack of communication and potential difficulty in establishing a reliable credit history",the customer is Bad credit,entailment
A negative checking account balance,the customer is Bad credit,entailment
a loan amount exceeding the average,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
and a foreign worker status all point towards potential financial instability,the customer is Bad credit,entailment
"The combination of these factors, coupled with the other debtors being a co-applicant, suggests a higher risk of defaulting on loans",the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a long loan duration exceeding the majority of cases,the customer is Bad credit,entailment
a high loan amount exceeding the majority of cases,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
a high installment rate exceeding the majority of cases,the customer is Bad credit,entailment
and a history of other installment plans,the customer is Bad credit,entailment
"Additionally, the customer is a foreign worker, which can be a significant factor in creditworthiness assessments",the customer is Bad credit,entailment
"Low checking account balance, This suggests potential financial instability and difficulty managing cash flow",the customer is Bad credit,entailment
"High installment rate, This indicates a significant portion of disposable income is allocated to debt payments, potentially leading to financial strain",the customer is Bad credit,entailment
"Foreign worker status, This could raise concerns about employment stability and ability to repay loans",the customer is Bad credit,entailment
"Lack of registered phone, This could indicate a lack of communication and potential difficulty in establishing a reliable credit history",the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a loan amount exceeding 50% of all cases,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
"Additionally,  the foreign worker status and lack of a registered phone number raise concerns about the customer's reliability and financial stability",the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
"Additionally, the low disposable income and the presence of other debtors further contribute to the negative assessment",the customer is Bad credit,entailment
negative checking account balance,the customer is Bad credit,entailment
low saving account balance,the customer is Bad credit,entailment
unemployment,the customer is Bad credit,entailment
high installment rate exceeding average,the customer is Bad credit,entailment
and being a foreign worker,the customer is Bad credit,entailment
low balance in both checking and savings accounts,the customer is Bad credit,entailment
a long loan duration exceeding the average,the customer is Bad credit,entailment
a high installment rate exceeding the average,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
